engineName,submissionDate,powerOutput,pressure,velocity,acceleration,weight
engine_31,2024-10-05 10:20:16.847481,22,122,187,1,150
engine_32,2024-10-09 10:20:16.847481,62,106,255,160,74
engine_33,2024-09-05 10:20:16.847481,183,120,49,180,105
engine_34,2024-10-08 10:20:16.847481,277,257,60,125,80
engine_35,2024-08-05 10:20:16.847481,44,228,222,231,111
engine_36,2024-09-26 10:20:16.847481,198,153,95,192,98
engine_37,2024-09-27 10:20:16.847481,54,47,289,136,188
engine_38,2024-09-24 10:20:16.847481,281,157,241,42,226
engine_39,2024-09-22 10:20:16.847481,217,188,151,250,155
engine_40,2024-07-31 10:20:16.847481,60,5,238,298,91
engine_41,2024-08-15 10:20:16.847481,22,183,148,126,190
engine_42,2024-09-25 10:20:16.847481,217,259,299,281,170
engine_43,2024-09-26 10:20:16.847481,136,161,166,227,13
engine_44,2024-08-08 10:20:16.847481,88,45,97,66,220
engine_45,2024-08-23 10:20:16.847481,4,21,33,108,231
engine_46,2024-08-21 10:20:16.847481,38,159,110,209,205
engine_47,2024-10-26 10:20:16.847481,109,60,119,188,174
engine_48,2024-10-15 10:20:16.847481,149,112,252,86,30
engine_49,2024-08-26 10:20:16.847481,88,259,215,37,107
engine_50,2024-10-20 10:20:16.847481,54,115,96,242,14
engine_51,2024-09-09 10:20:16.847481,36,8,252,13,209
engine_52,2024-10-13 10:20:16.847481,24,42,278,193,186
engine_53,2024-08-11 10:20:16.847481,50,142,246,25,280
engine_54,2024-08-20 10:20:16.847481,192,100,47,191,62
engine_55,2024-09-16 10:20:16.847481,74,182,72,241,146
engine_56,2024-10-14 10:20:16.847481,187,30,183,14,83
engine_57,2024-10-18 10:20:16.847481,104,274,105,41,225
engine_58,2024-11-02 10:20:16.852735,76,98,223,68,148
engine_59,2024-08-14 10:20:16.852735,175,58,226,27,293
engine_60,2024-08-12 10:20:16.852735,55,28,145,142,120
engine_61,2024-09-06 10:20:16.852735,29,138,48,185,71
engine_62,2024-09-30 10:20:16.852735,38,14,171,264,52
engine_63,2024-10-03 10:20:16.852735,153,138,237,12,282
engine_64,2024-10-24 10:20:16.852735,46,104,3,53,155
engine_65,2024-09-25 10:20:16.852735,282,124,16,155,41
engine_66,2024-08-28 10:20:16.852735,267,73,49,29,261
engine_67,2024-09-07 10:20:16.852735,150,209,226,8,155
engine_68,2024-10-10 10:20:16.852735,124,192,214,79,58
engine_69,2024-10-03 10:20:16.852735,42,8,131,215,203
engine_70,2024-09-29 10:20:16.852735,89,289,30,164,4
engine_71,2024-07-30 10:20:16.852735,70,106,152,203,252
engine_72,2024-09-23 10:20:16.852735,269,37,113,211,37
engine_73,2024-10-30 10:20:16.852735,101,282,109,158,202
engine_74,2024-10-18 10:20:16.852735,2,18,53,275,106
engine_75,2024-08-12 10:20:16.852735,212,84,38,141,14
engine_76,2024-09-29 10:20:16.852735,171,30,12,70,42
engine_77,2024-08-02 10:20:16.852735,54,119,142,124,276
engine_78,2024-09-01 10:20:16.852735,132,114,97,184,204
engine_79,2024-10-30 10:20:16.852735,137,193,104,182,239
engine_80,2024-08-26 10:20:16.852735,297,299,255,124,258
engine_81,2024-08-31 10:20:16.852735,196,39,97,168,289
engine_82,2024-09-12 10:20:16.852735,11,180,10,28,53
engine_83,2024-09-08 10:20:16.852735,59,78,184,185,205
engine_84,2024-08-04 10:20:16.852735,292,52,185,106,172
engine_85,2024-09-26 10:20:16.852735,213,31,248,195,174
engine_86,2024-08-03 10:20:16.852735,106,221,65,267,75
engine_87,2024-09-13 10:20:16.852735,254,171,55,142,292
engine_88,2024-08-14 10:20:16.852735,212,216,192,260,289
engine_89,2024-10-09 10:20:16.852735,106,83,272,106,273
engine_90,2024-10-11 10:20:16.852735,217,96,204,76,23
engine_91,2024-09-19 10:20:16.852735,194,174,20,264,198
engine_92,2024-10-25 10:20:16.852735,298,12,204,188,137
engine_93,2024-10-11 10:20:16.852735,201,144,131,170,176
engine_94,2024-10-22 10:20:16.852735,71,135,207,105,1
engine_95,2024-08-11 10:20:16.852735,180,32,42,220,26
engine_96,2024-09-07 10:20:16.852735,278,181,275,190,226
engine_97,2024-09-26 10:20:16.852735,258,26,219,289,126
engine_98,2024-10-09 10:20:16.852735,211,87,15,234,188
engine_99,2024-09-18 10:20:16.852735,126,149,77,59,39
engine_100,2024-10-28 10:20:16.852735,143,170,278,117,45
engine_101,2024-09-18 10:20:16.852735,287,243,47,146,79
engine_102,2024-07-30 10:20:16.852735,172,263,241,273,282
engine_103,2024-08-04 10:20:16.852735,132,208,176,66,234
engine_104,2024-08-22 10:20:16.852735,81,102,42,174,261
engine_105,2024-08-07 10:20:16.852735,104,150,1,194,126
engine_106,2024-11-01 10:20:16.852735,38,242,58,27,44
engine_107,2024-10-14 10:20:16.852735,279,64,91,139,44
engine_108,2024-10-29 10:20:16.852735,179,22,83,76,268
engine_109,2024-08-05 10:20:16.852735,67,100,118,34,275
engine_110,2024-08-27 10:20:16.852735,264,79,87,31,118
engine_111,2024-10-02 10:20:16.852735,186,206,29,46,274
engine_112,2024-08-16 10:20:16.852735,269,200,33,226,143
engine_113,2024-10-07 10:20:16.852735,15,282,262,217,27
engine_114,2024-09-28 10:20:16.852735,75,245,16,33,97
engine_115,2024-09-24 10:20:16.852735,125,260,166,153,99
engine_116,2024-09-03 10:20:16.852735,207,116,284,212,54
engine_117,2024-09-14 10:20:16.852735,182,19,291,196,179
engine_118,2024-10-19 10:20:16.852735,145,281,268,264,50
engine_119,2024-08-26 10:20:16.852735,267,102,138,3,168
engine_120,2024-08-07 10:20:16.852735,180,39,90,97,73
engine_121,2024-10-10 10:20:16.852735,279,233,288,169,48
engine_122,2024-09-24 10:20:16.852735,51,253,231,262,5
engine_123,2024-07-26 10:20:16.852735,49,81,62,253,215
engine_124,2024-07-30 10:20:16.852735,122,271,59,23,103
engine_125,2024-10-08 10:20:16.852735,12,276,267,240,273
engine_126,2024-09-04 10:20:16.852735,129,237,258,56,83
engine_127,2024-08-26 10:20:16.852735,134,81,165,255,216
engine_128,2024-09-23 10:20:16.852735,50,59,29,158,148
engine_129,2024-08-14 10:20:16.852735,112,45,31,97,14
engine_130,2024-09-10 10:20:16.852735,42,247,121,250,61
engine_131,2024-11-01 10:20:16.852735,80,4,167,95,65
engine_132,2024-07-26 10:20:16.852735,280,191,72,60,295
engine_133,2024-10-09 10:20:16.852735,167,217,166,161,181
engine_134,2024-08-29 10:20:16.852735,217,127,79,53,290
engine_135,2024-10-08 10:20:16.852735,114,236,35,260,222
engine_136,2024-10-03 10:20:16.852735,24,140,289,160,125
engine_137,2024-09-29 10:20:16.852735,165,279,172,196,245
engine_138,2024-08-06 10:20:16.852735,127,106,261,86,9
engine_139,2024-09-30 10:20:16.852735,116,244,232,178,179
engine_140,2024-08-17 10:20:16.852735,166,287,212,220,256
engine_141,2024-08-28 10:20:16.852735,78,42,190,59,59
engine_142,2024-09-16 10:20:16.852735,97,85,14,58,125
engine_143,2024-08-14 10:20:16.852735,69,159,163,29,19
engine_144,2024-09-07 10:20:16.852735,63,165,92,117,236
engine_145,2024-10-28 10:20:16.852735,7,248,17,13,25
engine_146,2024-09-16 10:20:16.852735,89,235,187,242,68
engine_147,2024-07-26 10:20:16.852735,258,171,90,199,154
engine_148,2024-10-12 10:20:16.852735,180,40,116,104,268
engine_149,2024-09-07 10:20:16.852735,41,81,151,164,125
engine_150,2024-09-26 10:20:16.852735,235,129,93,290,7
engine_151,2024-08-28 10:20:16.852735,25,153,35,172,287
engine_152,2024-10-28 10:20:16.852735,233,21,173,138,11
engine_153,2024-08-28 10:20:16.852735,23,84,255,214,34
engine_154,2024-08-06 10:20:16.852735,259,9,262,14,286
engine_155,2024-10-01 10:20:16.852735,177,237,55,21,293
engine_156,2024-08-22 10:20:16.852735,157,272,249,272,233
engine_157,2024-08-18 10:20:16.852735,259,78,134,90,253
engine_158,2024-09-04 10:20:16.852735,195,128,4,251,204
engine_159,2024-10-06 10:20:16.852735,92,194,200,196,294
engine_160,2024-09-25 10:20:16.852735,153,61,222,210,273
engine_161,2024-09-25 10:20:16.852735,180,130,165,27,115
engine_162,2024-10-12 10:20:16.852735,231,18,277,239,29
engine_163,2024-08-30 10:20:16.852735,45,181,112,262,286
engine_164,2024-08-07 10:20:16.852735,24,298,188,2,173
engine_165,2024-10-23 10:20:16.852735,89,40,45,216,129
engine_166,2024-08-14 10:20:16.853408,284,41,82,110,104
engine_167,2024-09-06 10:20:16.853408,34,180,224,131,30
engine_168,2024-10-20 10:20:16.853408,183,149,152,239,212
engine_169,2024-08-21 10:20:16.853408,63,28,286,262,153
engine_170,2024-10-25 10:20:16.853408,215,162,295,68,164
engine_171,2024-08-24 10:20:16.853408,266,258,238,213,61
engine_172,2024-10-19 10:20:16.853408,39,204,144,271,38
engine_173,2024-10-08 10:20:16.853408,159,220,115,287,195
engine_174,2024-09-09 10:20:16.853408,281,85,175,5,156
engine_175,2024-09-29 10:20:16.853408,241,174,282,141,269
engine_176,2024-08-16 10:20:16.853408,234,203,271,59,146
engine_177,2024-08-20 10:20:16.853408,276,287,168,77,103
engine_178,2024-08-19 10:20:16.853408,75,169,37,202,66
engine_179,2024-09-29 10:20:16.853408,132,80,186,256,195
engine_180,2024-08-16 10:20:16.853408,217,186,148,83,210
engine_181,2024-08-17 10:20:16.853408,99,234,107,226,84
engine_182,2024-09-01 10:20:16.853408,264,35,70,211,115
engine_183,2024-08-29 10:20:16.853408,253,41,263,72,295
engine_184,2024-10-31 10:20:16.853408,29,232,235,152,159
engine_185,2024-10-17 10:20:16.853408,2,297,238,200,286
engine_186,2024-10-13 10:20:16.853408,45,116,196,258,1
engine_187,2024-08-29 10:20:16.853408,185,136,84,17,164
engine_188,2024-09-26 10:20:16.853408,69,96,128,253,62
engine_189,2024-08-26 10:20:16.853408,279,189,11,205,108
engine_190,2024-08-13 10:20:16.853408,87,5,223,186,165
engine_191,2024-10-23 10:20:16.853408,237,45,18,120,296
engine_192,2024-08-13 10:20:16.853408,272,100,295,186,8
engine_193,2024-07-27 10:20:16.853408,148,11,223,134,4
engine_194,2024-09-03 10:20:16.853408,138,189,297,222,17
engine_195,2024-08-17 10:20:16.853408,54,10,21,143,53
engine_196,2024-09-23 10:20:16.853408,18,172,1,103,60
engine_197,2024-09-12 10:20:16.853408,196,1,264,176,106
engine_198,2024-08-14 10:20:16.853408,151,85,278,215,149
engine_199,2024-07-30 10:20:16.853408,109,28,156,26,256
engine_200,2024-08-27 10:20:16.853408,209,39,29,141,150
engine_201,2024-08-06 10:20:16.853408,150,289,197,145,247
engine_202,2024-10-24 10:20:16.853408,164,19,71,268,117
engine_203,2024-10-18 10:20:16.853408,200,110,140,194,195
engine_204,2024-09-29 10:20:16.853408,128,135,212,142,263
engine_205,2024-10-26 10:20:16.853408,107,183,32,269,192
engine_206,2024-10-10 10:20:16.853408,65,22,117,39,58
engine_207,2024-10-04 10:20:16.853408,88,156,266,182,235
engine_208,2024-08-02 10:20:16.853408,134,234,242,192,75
engine_209,2024-08-22 10:20:16.853408,225,256,244,46,50
engine_210,2024-09-05 10:20:16.853408,298,172,159,218,69
engine_211,2024-09-03 10:20:16.853408,99,91,271,11,120
engine_212,2024-07-27 10:20:16.853408,205,295,192,129,247
engine_213,2024-09-03 10:20:16.853408,196,298,135,240,121
engine_214,2024-10-13 10:20:16.853408,276,106,288,154,184
engine_215,2024-07-31 10:20:16.853408,66,277,222,179,9
engine_216,2024-08-02 10:20:16.853408,256,130,30,273,140
engine_217,2024-10-12 10:20:16.853408,48,257,54,188,149
engine_218,2024-08-14 10:20:16.853408,286,77,40,49,254
engine_219,2024-09-24 10:20:16.853408,24,246,177,210,95
engine_220,2024-08-02 10:20:16.853408,36,137,83,91,211
engine_221,2024-09-26 10:20:16.853408,44,44,286,295,144
engine_222,2024-09-08 10:20:16.853408,199,98,159,263,264
engine_223,2024-11-02 10:20:16.853408,15,124,67,60,83
engine_224,2024-10-26 10:20:16.853408,296,43,182,86,16
engine_225,2024-08-11 10:20:16.853408,130,13,249,241,224
engine_226,2024-09-24 10:20:16.853408,121,52,294,55,70
engine_227,2024-09-08 10:20:16.853408,150,59,176,265,182
engine_228,2024-09-12 10:20:16.853408,144,118,130,47,243
engine_229,2024-10-29 10:20:16.853408,4,29,4,77,186
engine_230,2024-10-02 10:20:16.853408,239,207,40,71,194
engine_231,2024-08-16 10:20:16.853408,148,18,47,250,245
engine_232,2024-08-27 10:20:16.853408,100,30,4,68,242
engine_233,2024-09-19 10:20:16.853408,6,47,199,100,60
engine_234,2024-08-05 10:20:16.853408,266,109,6,164,12
engine_235,2024-10-19 10:20:16.853408,276,42,81,180,173
engine_236,2024-09-04 10:20:16.853408,210,129,80,84,187
engine_237,2024-09-20 10:20:16.853408,89,119,299,298,287
engine_238,2024-09-10 10:20:16.853408,215,298,141,106,273
engine_239,2024-10-10 10:20:16.853408,128,3,24,27,17
engine_240,2024-10-22 10:20:16.853408,98,204,263,15,102
engine_241,2024-09-10 10:20:16.853408,237,284,69,164,259
engine_242,2024-09-12 10:20:16.853408,147,265,20,105,230
engine_243,2024-07-31 10:20:16.853408,80,3,237,111,277
engine_244,2024-10-15 10:20:16.853408,66,173,282,113,3
engine_245,2024-08-22 10:20:16.853408,88,147,177,54,42
engine_246,2024-10-16 10:20:16.853408,136,221,26,70,277
engine_247,2024-10-09 10:20:16.853408,186,117,237,205,285
engine_248,2024-09-30 10:20:16.853408,65,256,17,8,66
engine_249,2024-10-05 10:20:16.853408,72,47,91,137,59
engine_250,2024-07-28 10:20:16.853408,260,97,217,60,100
engine_251,2024-10-07 10:20:16.853408,218,130,99,225,19
engine_252,2024-10-13 10:20:16.853408,138,104,104,153,137
engine_253,2024-09-13 10:20:16.853408,51,186,192,172,23
engine_254,2024-10-22 10:20:16.853408,151,55,147,52,196
engine_255,2024-09-29 10:20:16.853408,24,72,221,242,284
engine_256,2024-10-17 10:20:16.853408,125,186,272,92,141
engine_257,2024-08-13 10:20:16.853408,187,121,121,246,246
engine_258,2024-08-18 10:20:16.853408,281,234,76,149,184
engine_259,2024-08-27 10:20:16.853408,145,297,257,96,113
engine_260,2024-09-22 10:20:16.853408,234,12,55,267,118
engine_261,2024-10-19 10:20:16.853408,187,231,188,48,210
engine_262,2024-08-19 10:20:16.853408,141,193,200,143,1
engine_263,2024-11-01 10:20:16.853408,97,241,196,260,224
engine_264,2024-09-28 10:20:16.853408,191,276,135,68,251
engine_265,2024-10-08 10:20:16.853408,64,72,66,275,270
engine_266,2024-10-28 10:20:16.853408,162,112,202,280,102
engine_267,2024-10-23 10:20:16.853408,147,180,3,92,84
engine_268,2024-08-18 10:20:16.853408,284,19,263,269,292
engine_269,2024-07-29 10:20:16.853408,196,274,161,53,294
engine_270,2024-09-16 10:20:16.853408,205,218,271,248,34
engine_271,2024-09-22 10:20:16.853408,205,102,48,127,59
engine_272,2024-09-27 10:20:16.853408,40,151,294,188,175
engine_273,2024-09-03 10:20:16.853408,267,172,261,57,126
engine_274,2024-08-21 10:20:16.853408,214,183,62,129,299
engine_275,2024-08-25 10:20:16.853408,15,264,222,146,225
engine_276,2024-08-08 10:20:16.853408,40,44,171,185,98
engine_277,2024-08-19 10:20:16.853408,127,87,43,105,66
engine_278,2024-08-26 10:20:16.853408,103,180,261,286,37
engine_279,2024-08-11 10:20:16.853408,212,21,128,19,151
engine_280,2024-07-31 10:20:16.853408,259,74,93,12,143
engine_281,2024-09-18 10:20:16.853408,215,48,58,82,180
engine_282,2024-08-04 10:20:16.853408,77,98,263,124,131
engine_283,2024-08-08 10:20:16.853408,233,192,255,260,102
engine_284,2024-11-02 10:20:16.853408,158,240,53,23,178
engine_285,2024-10-01 10:20:16.853408,282,70,126,184,27
engine_286,2024-10-19 10:20:16.853408,113,271,62,213,175
engine_287,2024-10-25 10:20:16.853408,241,217,298,136,114
engine_288,2024-09-08 10:20:16.853408,88,203,22,297,75
engine_289,2024-10-23 10:20:16.853408,107,65,55,41,36
engine_290,2024-10-15 10:20:16.853408,117,175,153,279,102
engine_291,2024-08-10 10:20:16.853408,114,90,228,270,17
engine_292,2024-08-01 10:20:16.853408,140,9,158,61,132
engine_293,2024-09-30 10:20:16.853408,89,221,69,46,152
engine_294,2024-10-04 10:20:16.853408,170,173,99,17,261
engine_295,2024-09-22 10:20:16.853408,120,173,111,143,205
engine_296,2024-10-30 10:20:16.853408,47,143,227,157,66
engine_297,2024-07-26 10:20:16.853408,261,20,24,10,134
engine_298,2024-09-12 10:20:16.853408,68,299,286,93,168
engine_299,2024-08-19 10:20:16.853408,167,133,177,230,144
engine_300,2024-11-02 10:20:16.853408,54,81,139,118,238
engine_301,2024-09-21 10:20:16.853408,12,55,115,100,253
engine_302,2024-10-27 10:20:16.853408,80,180,278,220,206
engine_303,2024-10-07 10:20:16.853408,40,137,8,292,95
engine_304,2024-09-13 10:20:16.853408,145,209,242,201,151
engine_305,2024-10-08 10:20:16.853408,182,120,12,87,203
engine_306,2024-08-17 10:20:16.853408,1,151,251,78,131
engine_307,2024-09-11 10:20:16.853408,47,28,167,214,32
engine_308,2024-10-18 10:20:16.853408,185,140,75,238,226
engine_309,2024-10-30 10:20:16.853408,262,157,157,41,272
engine_310,2024-10-03 10:20:16.853408,27,158,4,154,208
engine_311,2024-09-17 10:20:16.853408,225,186,47,158,292
engine_312,2024-10-26 10:20:16.853408,35,128,168,65,232
engine_313,2024-08-07 10:20:16.853408,260,1,160,298,106
engine_314,2024-11-02 10:20:16.853408,117,172,255,290,52
engine_315,2024-08-17 10:20:16.853408,72,140,154,203,90
engine_316,2024-09-17 10:20:16.853408,5,281,136,223,72
engine_317,2024-08-29 10:20:16.853408,126,27,165,136,230
engine_318,2024-10-23 10:20:16.853408,279,81,27,106,178
engine_319,2024-09-15 10:20:16.853408,34,298,89,91,189
engine_320,2024-09-07 10:20:16.853408,220,29,140,104,217
engine_321,2024-08-19 10:20:16.853408,166,146,81,238,5
engine_322,2024-08-31 10:20:16.853408,203,180,205,268,46
engine_323,2024-08-21 10:20:16.853408,184,152,185,276,273
engine_324,2024-08-02 10:20:16.853408,91,283,251,39,81
engine_325,2024-09-23 10:20:16.853408,204,64,119,66,120
engine_326,2024-10-06 10:20:16.853408,32,25,70,76,108
engine_327,2024-10-06 10:20:16.853408,46,244,202,118,48
engine_328,2024-10-09 10:20:16.853408,263,42,99,153,199
engine_329,2024-10-13 10:20:16.853408,7,165,274,107,247
engine_330,2024-08-20 10:20:16.853408,164,177,292,202,34
engine_331,2024-08-01 10:20:16.853408,152,47,68,278,44
engine_332,2024-10-29 10:20:16.853408,107,293,286,67,16
engine_333,2024-08-23 10:20:16.853408,198,237,173,81,112
engine_334,2024-10-14 10:20:16.853408,112,44,83,230,63
engine_335,2024-09-10 10:20:16.853408,240,207,59,274,224
engine_336,2024-09-19 10:20:16.853408,212,125,170,235,108
engine_337,2024-08-07 10:20:16.853408,120,284,50,136,95
engine_338,2024-09-07 10:20:16.853408,81,36,211,42,188
engine_339,2024-10-18 10:20:16.853408,232,209,16,56,235
engine_340,2024-09-29 10:20:16.853408,178,161,183,211,228
engine_341,2024-09-24 10:20:16.853408,15,291,288,129,126
engine_342,2024-09-29 10:20:16.853408,287,71,136,125,276
engine_343,2024-10-26 10:20:16.853408,136,56,84,55,39
engine_344,2024-10-07 10:20:16.853408,178,29,205,265,159
engine_345,2024-10-24 10:20:16.853408,158,145,32,177,116
engine_346,2024-08-17 10:20:16.853408,136,205,270,23,161
engine_347,2024-09-21 10:20:16.853408,262,62,130,40,262
engine_348,2024-08-05 10:20:16.853408,279,47,16,98,172
engine_349,2024-08-28 10:20:16.853408,74,197,233,163,286
engine_350,2024-09-22 10:20:16.853408,6,209,48,94,205
engine_351,2024-10-17 10:20:16.853408,144,152,266,51,166
engine_352,2024-09-16 10:20:16.853408,112,297,287,142,258
engine_353,2024-08-06 10:20:16.853408,66,285,266,134,96
engine_354,2024-09-12 10:20:16.853408,26,225,202,280,12
engine_355,2024-08-03 10:20:16.853408,101,79,130,2,289
engine_356,2024-09-02 10:20:16.853408,146,129,294,252,94
engine_357,2024-10-12 10:20:16.853408,243,203,164,299,188
engine_358,2024-09-28 10:20:16.853408,256,67,119,30,118
engine_359,2024-09-03 10:20:16.853408,36,146,3,37,50
engine_360,2024-10-18 10:20:16.853408,85,258,111,17,158
engine_361,2024-10-28 10:20:16.853408,251,98,192,109,268
engine_362,2024-08-15 10:20:16.853408,144,199,160,252,62
engine_363,2024-09-08 10:20:16.853408,192,230,43,89,284
engine_364,2024-08-22 10:20:16.853408,282,65,280,92,293
engine_365,2024-11-01 10:20:16.853408,196,245,112,288,152
engine_366,2024-07-31 10:20:16.853408,296,93,53,257,44
engine_367,2024-09-10 10:20:16.853408,156,74,216,48,15
engine_368,2024-10-30 10:20:16.853408,67,90,164,34,99
engine_369,2024-10-16 10:20:16.853408,102,241,265,201,280
engine_370,2024-10-30 10:20:16.853408,266,10,75,148,147
engine_371,2024-09-06 10:20:16.853408,290,249,299,192,16
engine_372,2024-10-26 10:20:16.853408,114,153,164,98,78
engine_373,2024-10-07 10:20:16.853408,202,161,234,155,277
engine_374,2024-10-10 10:20:16.853408,203,34,157,122,93
engine_375,2024-09-15 10:20:16.853408,38,146,174,80,196
engine_376,2024-07-30 10:20:16.853408,33,82,192,98,62
engine_377,2024-09-20 10:20:16.853408,67,107,154,285,250
engine_378,2024-08-06 10:20:16.853408,255,72,175,236,262
engine_379,2024-09-05 10:20:16.853408,232,225,90,52,196
engine_380,2024-10-22 10:20:16.853408,94,19,42,219,211
engine_381,2024-09-14 10:20:16.853408,160,111,220,287,93
engine_382,2024-09-04 10:20:16.853408,211,284,82,118,195
engine_383,2024-09-14 10:20:16.853408,199,137,246,195,197
engine_384,2024-08-01 10:20:16.853408,186,59,297,167,12
engine_385,2024-09-02 10:20:16.853408,286,111,117,199,22
engine_386,2024-09-20 10:20:16.853408,127,271,199,196,89
engine_387,2024-08-29 10:20:16.853408,112,95,210,196,178
engine_388,2024-11-02 10:20:16.853408,95,8,173,136,107
engine_389,2024-09-26 10:20:16.853408,6,246,67,98,263
engine_390,2024-10-26 10:20:16.853408,82,116,293,287,237
engine_391,2024-09-18 10:20:16.853408,6,266,271,137,190
engine_392,2024-10-25 10:20:16.853408,215,104,69,223,104
engine_393,2024-09-09 10:20:16.853408,176,115,27,212,207
engine_394,2024-10-20 10:20:16.853408,224,156,159,194,99
engine_395,2024-08-29 10:20:16.853408,71,29,223,224,89
engine_396,2024-10-01 10:20:16.853408,146,113,47,136,252
engine_397,2024-10-09 10:20:16.853408,244,35,121,126,293
engine_398,2024-07-26 10:20:16.853408,75,214,243,266,44
engine_399,2024-10-03 10:20:16.853408,27,172,140,71,127
engine_400,2024-07-29 10:20:16.853408,181,248,189,179,268
engine_401,2024-08-19 10:20:16.853408,2,128,226,275,201
engine_402,2024-09-23 10:20:16.853408,37,268,280,140,253
engine_403,2024-10-02 10:20:16.853408,185,47,158,63,235
engine_404,2024-08-11 10:20:16.853408,88,80,70,142,207
engine_405,2024-11-01 10:20:16.853408,95,16,30,64,180
engine_406,2024-09-15 10:20:16.853408,3,145,118,208,226
engine_407,2024-10-09 10:20:16.853408,63,172,210,70,217
engine_408,2024-10-28 10:20:16.853408,134,12,238,73,199
engine_409,2024-08-22 10:20:16.853408,280,289,1,107,271
engine_410,2024-10-28 10:20:16.853408,140,231,41,172,223
engine_411,2024-10-28 10:20:16.853408,258,105,35,113,35
engine_412,2024-08-18 10:20:16.853408,80,146,175,214,246
engine_413,2024-09-10 10:20:16.853408,251,59,79,47,124
engine_414,2024-10-01 10:20:16.853408,122,216,264,12,234
engine_415,2024-08-22 10:20:16.853408,250,79,56,234,137
engine_416,2024-08-03 10:20:16.853408,76,76,13,283,186
engine_417,2024-10-26 10:20:16.853408,194,132,271,186,241
engine_418,2024-09-29 10:20:16.853408,130,124,270,22,92
engine_419,2024-08-09 10:20:16.853408,285,139,77,174,140
engine_420,2024-08-13 10:20:16.853408,200,285,199,252,71
engine_421,2024-10-25 10:20:16.853408,226,235,264,41,70
engine_422,2024-10-22 10:20:16.853408,189,42,283,182,137
engine_423,2024-08-25 10:20:16.853408,62,280,48,223,94
engine_424,2024-07-29 10:20:16.853408,120,240,31,50,235
engine_425,2024-10-26 10:20:16.853408,71,199,21,13,280
engine_426,2024-07-31 10:20:16.853408,97,284,212,270,168
engine_427,2024-08-16 10:20:16.853408,259,269,208,94,137
engine_428,2024-09-27 10:20:16.853408,252,101,158,21,123
engine_429,2024-09-13 10:20:16.853408,268,33,16,121,152
engine_430,2024-08-15 10:20:16.853408,195,154,252,297,123
engine_431,2024-08-30 10:20:16.853408,84,210,5,36,264
engine_432,2024-09-12 10:20:16.853408,174,83,131,79,73
engine_433,2024-08-10 10:20:16.853408,10,224,130,284,55
engine_434,2024-10-30 10:20:16.853408,236,5,105,71,237
engine_435,2024-07-29 10:20:16.853408,48,76,283,243,115
engine_436,2024-08-12 10:20:16.853408,174,61,130,68,140
engine_437,2024-08-16 10:20:16.853408,175,138,144,100,145
engine_438,2024-09-10 10:20:16.853408,54,101,184,278,258
engine_439,2024-08-08 10:20:16.853408,96,9,128,58,239
engine_440,2024-08-30 10:20:16.853408,109,131,41,197,135
engine_441,2024-09-26 10:20:16.853408,108,106,105,11,263
engine_442,2024-10-16 10:20:16.853408,122,248,290,69,190
engine_443,2024-08-26 10:20:16.853408,52,156,59,288,251
engine_444,2024-09-14 10:20:16.853408,158,248,191,219,36
engine_445,2024-09-12 10:20:16.853408,112,260,266,185,129
engine_446,2024-08-21 10:20:16.853408,252,110,253,63,95
engine_447,2024-09-09 10:20:16.853408,253,214,1,1,83
engine_448,2024-09-25 10:20:16.853408,175,194,262,232,70
